zpid,streetAddress,latestPrice
70352355,11805 Iron Horse Cv,899000
125090634,5401 Ingersoll Ln,250000
29344769,4010 Long Champ Dr APT 2,395000
70352275,13241 Zen Gardens Way,999990
83829268,8816 Southwick Dr,270000
29351378,5212 S Scout Island Cir,949997
94882853,11724 Shadestone Ter,349000
70345600,3306 Wickham Ln,195000
70992273,14524 Homestead Village Cir,375000
70352265,7605 Lazy River Cv,125000
29377392,11503 Taterwood Dr,419900
83820767,6004 Nelson Oaks Dr,254999
29361760,3401 Fritz Hughes Park Rd,849000
29338353,9710 Scenic Bluff Dr,775000
114156945,258 Stoney Point Rd,465000
251030597,14919 Jolynn St,259000
70352264,7609 Lazy River Cv,1000000
29370392,10429 Scotland Well Dr,479999
125739266,4707 Craigwood Dr,484900
29351873,6603 W Courtyard Dr,2499000
64658848,1101 Ottawa Dr,650000
185217270,14209 Rountree Ranch Ln,327000
29462580,14501 Fitzgibbon Dr,186000
58300391,10756 Bramblecrest Dr,675000
124839095,5308 Gooding Dr,325000
63751762,14901 Nuttall Dr,185000
83830766,5825 Nelson Oaks Dr,235000
29342348,1113 Elder Cir,749000
29353871,6501 Brownwood Ct,949000
89547757,12513 Tierra Grande Trl,400000
88021769,11608 Fletcher Hall Ln,299900
83822444,7308 Mitra Dr,649900
125805573,805 Yabers Ct,203000
2084748889,7806 Ryans Way,562985
29336264,1709 Laguna Loma Cv,1695000
29395261,5204 King Charles Dr,309000
29353870,5600 Driftwood Dr,1173000
241930760,4604 Inicio Ln,187900
29342345,1116 Elder Cir,1140000
88027768,11225 Fletcher Hall Ln,299900
202153443,197 Swallowtail Dr,425000
29353869,6502 Marblewood Dr,759000
29375888,9202 Cedar Crest Dr,616000
64743260,6128 Perlita Dr,225000
89556257,15007 Mimebark Way,179000
145656114,8212 Brahma Dr,249900
111372751,401 Summer Alcove Way,899000
29351365,5801 Tom Wooten Cv,799900
83124840,213 Emerald Ridge Dr,975000
119618443,877 Wild Rose Dr,389900
70337262,7113 Malibu Cv,969500
29374385,9819 Mandeville Cir,447450
2079962106,8305 Cottage Rose Dr,326267
29361751,14005 Hummingbird Ln,475000
145653363,11111 Cut Plains Loop,440000
83819259,9005 Elfen Cv,215000
114156943,125 Stoney Point Rd,675000
29375883,9012 Fairway Hill Dr,680000
83123966,7109 Greenshores Dr,5800
145551605,5016 Bonneville Bnd,369723
241937749,15016 Guffey Dr,204900
243334255,12225 Wickline Way,364999
29336839,3000 Barton Point Dr,849000
64916752,6009 Perlita Dr,275000
29372883,10401 Holme Lacey Ln,539000
29359361,10105 Big View Dr,655000
241930604,7113 Auburn Blaze Ln,431000
29376382,10911 Enchanted Rock Cv,436900
89552498,9012 Spiceland Cir,215000
29343838,10012 Wildflower Ln,799000
83123860,4101 House Of York,1395000
70337257,3708 Pappys Way,999000
145551603,5004 Bonneville Bnd,379900
89548938,6612 Mitra Dr,778000
241937747,15200 Guffey Dr,209900
29361742,13918 Hummingbird Ln,544900
29462554,3706 Crownover St,174999
2090437934,135 Dry Run Cir,463000
29372882,10315 Holme Lacey Ln,555000
29361741,13912 Hummingbird Ln,384000
125803744,702 Hatton Hill Ln,225000
