streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
13208 Coleto Creek Trl,2007,14,4326,5,6.0
7208 Brick Slope Path,2015,6,1844,3,3.0
13809 Madrone Mountain Way,2001,20,3371,4,4.0
11520 Mcdows Hole Ln,2006,15,2126,3,3.0
3307 Etheredge Dr,2005,16,1569,3,3.0
2308 Swirling Wind Cv,2009,12,3883,5,4.0
9308 Prince Charles,2006,15,4808,4,4.0
12725 Rush Creek Ln,2005,16,2746,4,3.0
9105 Skye Cv,1989,32,3033,4,3.0
5930 Bold Ruler Way,2018,3,4200,4,5.0
11600 Mcdows Hole Ln,2007,14,2015,3,3.0
8024 Annalise Dr,2016,5,1891,3,3.0
7000 Cut Plains Trl,2016,5,1953,3,3.0
1213 Red Oak Valley Ct,2006,15,2255,3,2.0
11125 Sandstone Trl,2004,17,2825,4,3.0
7812 Donnelley Dr,2019,2,2570,4,3.0
14312 Staked Plains Loop,2007,14,1626,3,2.0
9021 Quick Stream Dr,2007,14,1442,3,2.0
4719 Fallenash Dr,1996,25,1898,3,3.0
1700 Foggy Glen Cv,1989,32,3675,5,4.0
205 N Weston Ln,1994,27,4016,4,4.0
10734 Centennial Trl,1957,64,2878,4,3.0
176 Stoney Point Rd,2015,6,3181,4,4.0
14308 Homestead Village Cir,2007,14,2868,4,4.0
8007 Weldon Springs Ct,1989,32,3071,4,4.0
9404 China Rose Dr,2014,7,1891,3,2.0
5500 N Scout Island Cir,1999,22,3427,3,4.0
104 N Lake Hills Dr,1970,51,1686,4,2.0
7108 Sienna Rouge Path,2017,4,2289,4,3.0
6702 Troll Hvn,1985,36,2500,3,3.0
9204 Rolling Oaks Trl,1983,38,2269,4,3.0
8026 Tahoe Parke Cir,1998,23,2698,4,3.0
147 Winecup Way,2006,15,2739,4,3.0
6220 Seville Dr,2007,14,2192,3,3.0
5410 N Scout Island Cir,1999,22,3994,4,4.0
2305 Swirling Wind Cv,2008,13,4183,5,5.0
3103 Etheredge Dr,2006,15,1986,5,3.0
