streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
4604 Acers Ln,2008,13,928,3,2.0
9308 Stallion Dr,1998,23,2876,4,3.0
11809 Balcones Way,2002,19,2550,3,3.0
405 Summer Alcove Way,2012,9,4124,5,4.0
5408 Kara Dr,2015,6,1821,3,2.0
3113 Peavy Dr,2001,20,1748,3,3.0
6612 Dogwood Creek Dr,1997,24,3711,4,5.0
5413 Park At Woodlands Dr,2007,14,1442,3,2.0
5604 Blueridge Ct,1981,40,3193,4,3.0
2409 Swirling Wind Cv,2006,15,4095,5,4.0
10660 Bramblecrest Dr,1999,22,4200,5,4.0
3005 Brass Buttons Trl,1981,40,2076,3,3.0
3511 Fawn Trl,1984,37,1616,2,2.0
6900 Dogwood Holw,1978,43,1904,3,2.0
4613 Credo Ln,2010,11,1432,3,3.0
12211 Old Stage Trl,1976,45,1398,3,2.0
14511 Cottingham Dr,2000,21,1737,3,2.0
2528 Ionian Cv,2014,7,4323,4,4.0
137 Finnel Cv,2012,9,3809,5,4.0
5602 Blueridge Ct,1963,58,2160,3,2.0
10812 Wintergreen Hl,1985,36,2742,4,3.0
10816 Natches Trce,2016,5,1977,3,2.0
3215 Barksdale Dr,2009,12,1522,4,2.0
2702 Pearce Rd,2013,8,3004,3,4.0
6205 Parliament Dr,1972,49,1110,3,2.0
6902 Dogwood Holw,1980,41,1869,3,3.0
10680 Bramblecrest Dr,2000,21,4148,5,3.0
2100 Wood Acre Ln APT 6,2001,20,2287,3,3.0
12312 Mediterra Pl,2011,10,2968,5,4.0
268 Winecup Way,2006,15,4679,5,5.0
5402 Garden View Cv,1987,34,1867,3,3.0
8004 High Hollow Dr,1996,25,3029,4,3.0
8001 Bestride Bnd,2019,2,2433,4,3.0
10900 Wintergreen Hl,1984,37,2047,3,2.0
11320 Wyola Bnd,2012,9,1905,3,2.0
1412 Shoreview Cv,2013,8,4393,4,4.0
3203 Barksdale Dr,2011,10,2074,5,3.0
6700 Troll Hvn,1974,47,1940,4,2.0
332 Santaluz Ln,2009,12,4416,5,4.0
6201 Parliament Dr,1972,49,1903,5,3.0
5213 Ingersoll Ln,2015,6,2075,4,3.0
10636 Bramblecrest Dr,1998,23,3756,4,4.0
501 Horseback Holw,2006,15,4313,5,4.0
4517 Fifnella Way,2015,6,1652,3,2.0
336 Palo Alto Way,2008,13,2705,4,4.0
5902 Inter Council Cv,1995,26,2893,4,3.0
4504 Aristocrat Dr,1998,23,1628,3,2.0
433 Wild Rose Dr,2010,11,2973,4,3.0
7213 Auburn Blaze Ln,2016,5,3105,5,3.0
12121 Labrador Bay Ct,2012,9,3563,4,4.0
1705 Manana St,1978,43,3019,3,4.0
7204 Rusty Fig Dr,1983,38,2922,3,3.0
7400 Annette Cv,2017,4,2801,4,3.0
14601 Staked Plains Loop,2004,17,3468,5,4.0
136 Angela Rose Ct,2016,5,3405,4,4.0
3204 Barksdale Dr,2009,12,1272,3,2.0
4607 Truth Way,2016,5,1158,3,2.0
10904 Wintergreen Hl,1985,36,2774,3,2.0
12817 Rush Creek Ln,2005,16,2883,4,3.0
6002 Little Bull Cv,1994,27,3560,5,3.0
8908 Quick Stream Dr,2014,7,1704,3,2.0
13918 Turkey Hollow Trl,2012,9,1937,3,3.0
7113 Garnet Mill Ln,2017,4,2365,4,3.0
8709 Capehart Cv,2005,16,4684,5,6.0
2504 Arion Cir,2015,6,3933,4,4.0
10511 Scotland Well Dr,1983,38,1831,3,2.0
13101 Zen Gardens Way,2013,8,4783,5,5.0
5200 Heritage Village Dr,2003,18,1274,3,2.0
14304 Marathon Rd,2008,13,1844,3,2.0
380 Emma Loop,2013,8,3021,3,3.0
14505 James Vincent Dr,1998,23,1499,3,2.0
1303 Castile Rd,1973,48,952,1,1.0
7221 Sienna Rouge Path,2016,5,2515,4,3.0
1800 Lakeshore Dr,1991,30,2640,4,3.0
10505 Scotland Well Dr,1984,37,2000,4,2.0
13707 Montview Dr,2008,13,2835,4,4.0
9725 Solana Vista Loop #B,2013,8,1790,2,3.0
6209 Perlita Dr,2004,17,1450,3,3.0
379 Stone River Dr,2019,2,3400,4,4.0
3410 Barksdale Dr,2005,16,1436,3,2.0
8309 Donnelley Dr,2019,2,2736,4,3.0
8504 Del Carmen Cv,1993,28,4079,5,5.0
324 Whispering Wind Way,2011,10,2835,4,4.0
5405 N Scout Island Cir,1994,27,3549,5,5.0
1100 Ogden Dr,2003,18,3186,4,4.0
815 Hatton Hill Ln,2014,7,1508,3,2.0
1406 W Lakeland Dr,2018,3,2758,4,4.0
186 Big Meadow Rd,2017,4,3150,5,3.0
4508 House Of Lancaster,1999,22,4087,4,4.0
5421 Ingersoll Ln,2015,6,1617,3,2.0
14308 Rountree Ranch Ln,2006,15,1995,3,3.0
9818 Mandeville Cir,1976,45,2796,4,2.0
5108 Regency Dr,1969,52,1378,3,2.0
812 Lakewood Hills Ter,2006,15,3540,4,4.0
4524 Esper Ln,2015,6,1100,3,2.0
5704 Driftwood Dr,2018,3,3602,4,4.0
814 Jacksdaw Dr,2018,3,3690,6,6.0
11805 Iron Horse Cv,2008,13,4405,5,4.0
5401 Ingersoll Ln,2015,6,1489,3,2.0
4010 Long Champ Dr APT 2,1986,35,1964,3,3.0
13241 Zen Gardens Way,2013,8,4000,5,4.0
8816 Southwick Dr,2012,9,2088,4,3.0
5212 S Scout Island Cir,1992,29,3972,4,5.0
11724 Shadestone Ter,2011,10,1859,3,2.0
3306 Wickham Ln,2009,12,2026,5,3.0
14524 Homestead Village Cir,2006,15,2801,4,4.0
7605 Lazy River Cv,2014,7,4069,5,4.0
11503 Taterwood Dr,1981,40,2776,4,3.0
6004 Nelson Oaks Dr,2009,12,1532,3,2.0
3401 Fritz Hughes Park Rd,2001,20,4162,4,3.0
9710 Scenic Bluff Dr,1993,28,3114,5,3.0
258 Stoney Point Rd,2011,10,3239,4,4.0
14919 Jolynn St,2018,3,2381,4,3.0
7609 Lazy River Cv,2009,12,4246,5,4.0
10429 Scotland Well Dr,1984,37,2380,4,2.0
4707 Craigwood Dr,2020,1,1815,3,2.0
6603 W Courtyard Dr,1989,32,4926,4,6.0
1101 Ottawa Dr,2003,18,3251,3,4.0
14209 Rountree Ranch Ln,2010,11,1859,3,2.0
14501 Fitzgibbon Dr,1999,22,1662,3,2.0
10756 Bramblecrest Dr,2000,21,4044,6,3.0
5308 Gooding Dr,2015,6,1693,3,3.0
14901 Nuttall Dr,2004,17,1365,3,2.0
5825 Nelson Oaks Dr,2009,12,1532,3,2.0
1113 Elder Cir,2001,20,3343,4,4.0
6501 Brownwood Ct,1957,64,3360,4,4.0
12513 Tierra Grande Trl,2009,12,2045,3,2.0
11608 Fletcher Hall Ln,2005,16,1837,3,2.0
7308 Mitra Dr,2010,11,3606,3,3.0
805 Yabers Ct,2014,7,1550,3,2.0
7806 Ryans Way,2019,2,2799,4,4.0
1709 Laguna Loma Cv,1982,39,2333,3,3.0
5204 King Charles Dr,1972,49,1278,3,2.0
5600 Driftwood Dr,2018,3,2933,4,3.0
4604 Inicio Ln,2016,5,1308,3,3.0
1116 Elder Cir,1993,28,4299,4,4.0
11225 Fletcher Hall Ln,2003,18,1880,3,3.0
197 Swallowtail Dr,2015,6,2731,4,3.0
6502 Marblewood Dr,1988,33,2453,3,2.0
9202 Cedar Crest Dr,1977,44,3297,4,3.0
6128 Perlita Dr,2004,17,1230,3,2.0
15007 Mimebark Way,2010,11,1776,4,3.0
8212 Brahma Dr,2015,6,1297,3,2.0
401 Summer Alcove Way,2012,9,4491,5,5.0
5801 Tom Wooten Cv,1984,37,2329,3,3.0
213 Emerald Ridge Dr,2008,13,4445,5,5.0
877 Wild Rose Dr,2014,7,2262,3,3.0
7113 Malibu Cv,2005,16,3122,4,3.0
9819 Mandeville Cir,1976,45,3031,4,3.0
8305 Cottage Rose Dr,2020,1,2110,4,4.0
14005 Hummingbird Ln,1975,46,1620,2,2.0
11111 Cut Plains Loop,2015,6,2217,3,2.0
9005 Elfen Cv,2008,13,1341,3,2.0
125 Stoney Point Rd,2012,9,3234,4,4.0
9012 Fairway Hill Dr,1975,46,2501,3,2.0
7109 Greenshores Dr,2007,14,4979,5,6.0
5016 Bonneville Bnd,2018,3,2447,3,2.0
15016 Guffey Dr,2016,5,1570,3,2.0
12225 Wickline Way,2016,5,2244,4,3.0
3000 Barton Point Dr,1990,31,3397,5,4.0
6009 Perlita Dr,2004,17,1461,3,3.0
10401 Holme Lacey Ln,1984,37,2693,4,4.0
10105 Big View Dr,1996,25,3569,4,4.0
7113 Auburn Blaze Ln,2016,5,2629,4,3.0
10911 Enchanted Rock Cv,1989,32,2355,3,2.0
9012 Spiceland Cir,2009,12,1704,3,2.0
10012 Wildflower Ln,1983,38,2442,3,2.0
4101 House Of York,2007,14,4109,5,5.0
3708 Pappys Way,2006,15,4044,4,4.0
5004 Bonneville Bnd,2017,4,2436,4,3.0
6612 Mitra Dr,2011,10,3938,4,4.0
15200 Guffey Dr,2016,5,1412,3,2.0
13918 Hummingbird Ln,1984,37,2211,3,3.0
3706 Crownover St,1999,22,1041,2,2.0
135 Dry Run Cir,2012,9,3322,5,4.0
10315 Holme Lacey Ln,1988,33,2742,4,3.0
13912 Hummingbird Ln,1960,61,1404,2,2.0
702 Hatton Hill Ln,2014,7,1878,4,3.0
4517 Felicity Ln,2006,15,1300,3,3.0
10620 Cannon Mark Way,2014,7,3822,4,4.0
6800 W Courtyard Dr,1994,27,3163,4,4.0
5000 Bonneville Bnd,2018,3,2440,4,4.0
11205 Zimmerman Ln,2013,8,2640,4,4.0
7608 Lazy River Cv,2011,10,3571,4,4.0
12912 Orihuela Dr,2018,3,1694,3,2.0
6304 N Fm 973,1991,30,960,2,1.0
6309 Lakewood Holw,1978,43,1842,3,2.0
9401 China Rose Dr,2013,8,1670,3,2.0
13401 Country Trails Ln,2006,15,4348,5,4.0
10616 Chestnut Ridge Rd,2000,21,4048,4,4.0
10058 Circleview Dr,1988,33,4516,5,4.0
4904 Bonneville Bnd,2015,6,2138,5,3.0
11216 Mckinney Springs Dr,2010,11,1651,3,2.0
5812 Montrelia Dr,2017,4,2029,4,2.0
129 Sandpiper Cv,2015,6,2677,4,3.0
9011 Mountain Lake Cir,1976,45,2899,3,3.0
5112 Provencial Dr,1971,50,1227,4,2.0
7600 Lazy River Cv,2010,11,3475,4,4.0
13301 Country Trails Ln,2006,15,4117,5,4.0
6311 Lakewood Holw,1978,43,1857,3,2.0
5012 Bonneville Bnd,2015,6,3251,3,3.0
266 Emma Loop,2014,7,2582,4,3.0
10600 Tweedsmuir Dr,1990,31,2788,4,4.0
15206 Bullace St,2009,12,1767,3,2.0
6306 Big Cat Cv,1983,38,2042,4,3.0
3302 Blue Jay Ln,2000,21,4094,5,5.0
5916 Pinon Vista Dr,2006,15,1080,3,2.0
7012 Cardinal Bloom Loop,2015,6,2558,4,3.0
12212 Palisades Pkwy,2009,12,3297,4,4.0
7309 Turnbuoy Dr,2006,15,4855,5,5.0
7807 Ryans Way,2019,2,2799,4,4.0
7811 Moonflower Dr,1991,30,2634,3,3.0
1305 Merlene Dr,2002,19,2604,4,3.0
6106 Provencial Cv,1969,52,1768,3,3.0
8905 Sandust Way,1985,36,4943,4,5.0
162 Firefall Ln,2014,7,3232,4,4.0
9109 Spinning Leaf Cv,2005,16,3831,4,4.0
7809 Moonflower Dr,1992,29,2710,3,3.0
1900 Big Horn Dr,1999,22,2376,5,3.0
9216 China Rose Dr,2013,8,1509,3,2.0
6010 Long Champ Ct APT 104,1985,36,2038,3,3.0
11105 Los Comancheros Rd,2005,16,2015,3,3.0
4513 Truth Way,2016,5,1308,3,3.0
10310 Holme Lacey Ln,1985,36,2504,3,3.0
12025 Montclair Bnd,2009,12,2934,4,3.0
5008 Bonneville Bnd,2015,6,2477,3,2.0
7416 Turnbuoy Dr,2012,9,3490,4,4.0
5804 Knoll Pines Pass,2014,7,1197,3,2.0
14216 Tyburn Trl,2015,6,3688,5,5.0
12401 Jarrod Lee Cv,2000,21,4058,4,4.0
7301 Preserve View Run,2015,6,2929,4,3.0
145 Turks Cap Pass,2010,11,2326,3,2.0
12333 Labrador Bay Ct,2013,8,3625,5,5.0
10741 Bramblecrest Dr,2000,21,4226,5,4.0
8708 Southwick Dr,2009,12,1341,3,2.0
12509 Split Rail Pkwy,1978,43,2088,4,3.0
3400 Blue Jay Ln,1978,43,1152,3,2.0
5802 Harrington Cv,1981,40,2281,3,3.0
591 Wild Rose Dr,2012,9,2974,5,4.0
11010 Crossland Dr,1992,29,2778,5,3.0
12117 Wickline Way,2016,5,1771,4,2.0
7001 Greenshores Dr,2005,16,3600,4,4.0
12100 Terraza Cir #TOWNHOUSE 26,2009,12,2248,3,3.0
10036 Circleview Dr,1991,30,2623,3,3.0
6304 Us Highway 183 S,1984,37,1514,4,2.0
14112 Canyon Trl,2010,11,1841,3,2.0
9408 Southwick Dr,2014,7,1825,3,3.0
10727 Bramblecrest Dr,2000,21,3450,4,4.0
8125 Vailview Cv,1999,22,3804,6,4.0
4104 Belmont Park Dr,1992,29,3419,4,4.0
8213 Bestride Bnd,2019,2,2150,3,2.0
12116 Azure Shores Ct,2009,12,4336,5,4.0
11213 Crazy Well Dr,2005,16,1626,3,2.0
5616 N Scout Island Cir,1992,29,3481,4,3.0
2913 Waterbank Cv,2005,16,4621,5,6.0
5900 Pinon Vista Dr,2005,16,1101,3,2.0
12717 Belcara Pl,2007,14,3118,4,4.0
12503 Burlywood Trl,1978,43,2510,5,3.0
2105 Wimberly Ln,2000,21,3882,4,4.0
8405 Riverstone Dr,2002,19,2160,6,4.0
4529 Cleto St,2015,6,1653,3,3.0
409 Wild Rose Dr,2010,11,2855,4,3.0
7305 Aemilian Way,2008,13,4266,5,6.0
600 Santaluz Path,2011,10,4299,5,6.0
8005 Bottlebrush Dr,1996,25,3423,5,4.0
14220 Canyon Trl,2009,12,1914,4,2.0
4614 Belfield Ln,2015,6,1225,3,2.0
10028 Circleview Dr,1992,29,3490,4,4.0
16108 Crystal Hills Dr,1993,28,3258,4,3.0
13920 Flat Top Ranch Rd,2003,18,4273,5,4.0
9016 Mountain Lake Cir,1976,45,4986,5,3.0
6208 Turkey Holw,1981,40,2488,3,2.0
7804 Glover Dr,2018,3,1737,3,2.0
2301 Saratoga Dr,2019,2,2779,3,3.0
5913 Nelson Oaks Dr,2009,12,1704,3,2.0
4602 Graceful Ln #510,2017,4,1310,3,3.0
1337 Grassy Field Rd,2018,3,3820,4,4.0
5707 Carry Back Ln,1985,36,2435,4,3.0
12604 Belcara Pl,2007,14,2682,3,3.0
8500 Spicewood Mesa Cv,1996,25,3119,5,4.0
11620 Faubian Ln,2013,8,2220,3,3.0
6508 Cuesta Trl,1998,23,4032,4,4.0
2321 Rivina Dr,2011,10,2162,4,2.0
586 Emma Loop,2014,7,3509,4,4.0
9018 Mountain Lake Cir,1993,28,3150,5,4.0
12224 Montclair Bnd,2010,11,2946,4,4.0
5400 Bonneville Bnd,2016,5,1739,4,2.0
7101 Greenshores Dr,2007,14,3141,5,4.0
5608 N Scout Island Cir,1993,28,2902,3,3.0
12608 Padua Dr,2014,7,4157,5,5.0
9824 Timber Ridge Pass,1976,45,2000,4,2.0
10104 Chestnut Ridge Rd,2003,18,4006,5,4.0
12937 Zen Gardens Way,2010,11,4532,4,5.0
10020 Circleview Dr,1992,29,3498,5,3.5
7004 Mitra Dr,2012,9,3692,5,4.0
8110 Ranch Road 2222 APT 83,2010,11,1823,2,3.0
10901 Spicewood Pkwy,1975,46,2534,4,3.0
7320 Van Ness St,2018,3,2116,3,2.0
700 Lakewood Hills Ter,2011,10,4749,4,4.0
10018 Circleview Dr,1992,29,3420,5,4.0
10602 Turnbull Loop,2017,4,1977,3,3.0
3906 Reeders Dr,2002,19,1371,3,2.0
8405 Sweetness Ln,1996,25,4060,5,5.0
12804 River Bnd,2018,3,2326,3,0.0
10200 Milky Way,2007,14,4282,4,5.0
2911 Round Table Rd,1993,28,2885,4,4.0
9830 Timber Ridge Pass,1984,37,2131,3,3.0
190 Winecup Way,2006,15,2739,4,3.0
9020 Southwick Dr,2010,11,1318,3,2.0
11205 Old Quarry Rd,2009,12,2323,4,3.0
4620 Kind Way,2014,7,1110,3,2.0
12003 Mossbrook Cv,1974,47,2400,4,3.0
12101 Azure Shores Ct,2008,13,4407,5,4.0
5802 Round Table Cv,1994,27,2966,5,3.0
854 Wild Rose Dr,2014,7,1753,3,2.0
704 Lakewood Hills Ter,2007,14,3385,4,5.0
4246 Westlake Dr,1984,37,2945,4,3.0
8207 Scenic Ridge Cv,2001,20,4434,4,5.0
5403 S Scout Island Cir,1990,31,3134,4,3.0
5228 Bantom Woods Bnd,2008,13,2280,4,3.0
12913 Little Dipper Path,2007,14,2972,4,4.0
158 Short Bush Pass,2019,2,3300,4,3.0
13413 Lois Ln,1971,50,2111,4,2.5
1609 Acacia Bud Dr,2000,21,4334,5,6.0
6912 Ridge Holw,1992,29,2422,3,3.0
11700 Harpster Bnd,2013,8,2528,4,3.0
370 Whispering Wind Way,2013,8,3208,4,3.5
14300 Varrelman St,2002,19,1655,3,3.0
9300 Spring Hollow Dr,1975,46,3020,3,3.0
10019 Circleview Dr,1988,33,2625,4,3.0
2803 Round Table Rd,1995,26,3225,4,4.0
4312 Turkey Creek Dr,2006,15,3899,3,4.0
12316 Montclair Bnd,2009,12,2934,4,4.0
7116 Sienna Rouge Path,2016,5,2035,3,3.0
7908 Ryans Way,2020,1,2258,4,3.0
12109 Azure Shores Ct,2008,13,4326,5,6.0
13021 Hymeadow Cir,2011,10,2382,4,2.0
3702 Needles Dr,1982,39,3000,4,4.0
4001 Sojourner St,2002,19,1371,3,2.0
8106 Pampas Cv,1991,30,3456,4,4.0
11416 Running Brush Ln,2011,10,1864,3,2.0
12216 Palisades Pkwy,2009,12,3997,5,5.0
9202 Spring Hollow Dr,1976,45,2400,3,2.0
11424 Running Brush Ln,2011,10,2342,4,3.0
8517 Sweet Cherry Dr,1996,25,3335,4,4.0
1608 Acacia Bud Dr,2001,20,4552,4,4.0
8908 Southwick Dr,2012,9,2088,4,3.0
8101 Pampas Cv,1994,27,2428,3,3.0
7100 Sienna Rouge Path,2016,5,2571,4,3.0
11000 Leland Rich Ct,2015,6,3081,4,4.0
325 Palo Alto Way,2009,12,2764,5,3.0
2914 Round Table Rd,1988,33,2814,4,4.0
2101 Cochise Trl,1965,56,1586,0,0.0
8916 China Rose Dr,2009,12,1532,3,2.0
10407 Pickfair Dr,1985,36,2500,3,3.0
7808 Moonflower Dr,1992,29,3484,4,3.5
4107 Louise Lee Dr,2003,18,2277,4,3.0
9807 Lake Ridge Dr,1979,42,3226,4,4.0
136 Welshpool Ct,2014,7,3545,4,5.0
301 Palo Alto Way,2008,13,2258,3,2.0
9321 Southwick Dr,2015,6,1847,3,3.0
6515 Twin Creek Holw,1992,29,2387,3,3.0
8408 Horse Mountain Cv,1993,28,3951,5,5.0
602 Big Meadow Rd,2009,12,2964,4,3.0
4004 Belmont Park Dr,1989,32,3448,5,5.0
10023 Circleview Dr,1987,34,2688,4,4.0
13020 Hymeadow Cir,2011,10,2687,3,4.0
5718 Sam Houston Cir,1980,41,2451,4,3.0
3908 Sojourner St,2002,19,1780,3,2.0
2600 Arion Cir,2019,2,3796,5,5.0
10027 Circleview Dr,1992,29,2984,4,4.0
7016 Cardinal Bloom Loop,2015,6,2023,3,3.0
6217 Florencia Ln,2019,2,2271,3,3.0
4104 Sojourner St,2002,19,1558,3,2.0
11210 Salt Cedar Trl,1979,42,1728,3,2.0
203 N Lake Hills Dr,1979,42,2536,0,0.0
7113 Barefoot Cv,2004,17,3375,3,3.0
9008 Southwick Dr,2012,9,1203,3,2.0
1791 Cool Spring Way,2017,4,3567,4,4.0
6301 Diamondleaf Bnd,2018,3,1338,3,2.0
6519 Twin Creek Holw,1992,29,2323,4,2.0
10449 Jennys Jump Dr,2008,13,4557,5,5.0
13716 Loleta Way,2013,8,1738,4,2.0
13512 Coleto Creek Trl,2006,15,4252,5,4.0
409 Blazing Star Dr,2010,11,4164,5,4.0
4009 Reeders Dr,2002,19,1875,3,3.0
10803 Bonaparte Bnd,1976,45,2348,3,2.0
7021 Sienna Rouge Path,2017,4,1844,3,2.0
9309 Leaning Rock Cir,1992,29,4341,5,5.0
13914 Turkey Hollow Trl,2012,9,1534,3,2.0
169 Enchanted Cv,2006,15,3083,5,3.0
5616 Toscana Ave,2006,15,1395,3,3.0
216 El Socorro Ln,2007,14,2616,4,3.0
1405 University Club Dr,2012,9,4791,5,5.0
7101 Sienna Rouge Path,2016,5,2248,4,2.0
3721 Pappys Way,2004,17,4315,4,4.0
11221 Fletcher Hall Ln,2003,18,1970,3,3.0
362 Katie Dr,2016,5,2869,3,3.0
12812 Ursa Major Path,2008,13,3686,6,4.0
8113 Vailview Cv,1998,23,3585,5,4.0
5321 Sendero Hills Pkwy,2006,15,2242,3,3.0
10613 Chestnut Ridge Rd,2000,21,4074,5,4.0
2612 Arion Cir,2012,9,4307,4,4.0
14209 Williamsport St,2015,6,3008,4,3.0
5618 Parade Rdg,2005,16,1987,2,2.0
402 Delayne Dr,2020,1,4042,4,4.0
5905 Chantsong Ct,2008,13,1203,3,2.0
4001 Reeders Dr,2002,19,1875,3,3.0
5804 Back Ct,1980,41,1903,3,3.0
11005 Spicewood Pkwy,1975,46,4333,6,5.0
13513 Country Trails Ln,2006,15,3841,5,4.0
12616 Ondara Dr,2017,4,1618,3,2.0
15217 Wideleaf Cv,2008,13,2184,4,3.0
10064 Circleview Dr,1986,35,2858,4,4.0
5800 Buckpasser Cv,1987,34,3084,4,3.0
4501 Court Of St James,2001,20,4628,4,5.0
11013 Los Comancheros Rd,2005,16,2129,3,3.0
10800 Scotland Well Dr,1987,34,2198,4,3.0
8309 Bestride Bnd,2019,2,2502,4,3.0
648 Big Meadow Rd,2012,9,4025,5,4.0
224 Horseback Holw,2011,10,4150,5,4.0
9429 Southwick Dr,2015,6,1252,3,2.0
15114 Sabal Palm Rd,2006,15,1457,3,2.0
5807 Buckpasser Cv,1985,36,2958,3,3.0
8035 Bottlebrush Dr,1996,25,3654,5,4.0
2204 Bloomfield Hills Pass,2005,16,4287,5,4.0
5309 Ingersoll Ln,2015,6,2013,4,3.0
3706 Sojourner St,2003,18,1278,3,1.0
5129 Park At Woodlands Dr,2007,14,2133,3,3.0
11205 Mckinney Springs Dr,2009,12,1770,4,2.0
7101 Bowditch Dr,2007,14,3123,4,3.0
276 Clear Pond Cv,2006,15,3650,4,4.0
8407 Horse Mountain Cv,1994,27,3202,4,3.0
5900 Cartwright Cv,1983,38,2369,3,2.0
12725 Capella Trl,2007,14,3338,4,4.0
8921 Southwick Dr,2012,9,2043,4,3.0
2801 Pearce Rd,2019,2,800,2,2.0
9305 Cedar Crest Dr,1971,50,4152,4,4.0
11013 Steelton Cv,2014,7,3098,4,4.0
1604 Miami Dr,1980,41,784,0,0.0
1093 Grassy Field Rd,2010,11,3490,4,3.0
7310 Cave Holw,1983,38,1700,3,3.0
4508 Nixon Ln,1939,82,864,3,2.0
Kind Way,2014,7,1020,2,2.0
4105 Triple Crown,1993,28,2237,3,2.0
10806 Spicewood Pkwy,1976,45,3450,4,3.0
1833 Carlotta Ln,2007,14,4086,4,5.0
13008 Hymeadow Cir,2013,8,2361,4,4.0
9425 Southwick Dr,2015,6,1807,3,3.0
5608 Courtyard Cv,1983,38,2169,3,3.0
5811 Kentucky Derby,1993,28,3070,4,4.0
11811 Brookwood Rd,1977,44,2971,4,3.0
15103 Nuttall Dr,2004,17,1326,3,2.0
1014 Ogden Dr,2004,17,3373,4,4.0
7907 Goldenrod Cv,1991,30,3175,4,3.0
711 River Rd,2005,16,4660,4,6.0
10810 Spicewood Pkwy,1975,46,3651,5,4.0
7113 Cherry Beam Path,2017,4,2289,4,3.0
15100 Mimebark Way,2005,16,1650,4,2.0
6600 Cuesta Trl,1986,35,3528,4,4.0
5400 Daimler Dr,2015,6,1297,3,2.0
9904 Kabar Trl,1994,27,3814,4,3.0
12919 Perryton Dr,2006,15,4761,4,4.0
7211 Oak Shores Dr,1983,38,3947,3,5.0
1302 Canyon Edge Dr,2008,13,3324,4,4.0
15206 Mimebark Way,2006,15,1326,3,2.0
11317 Dodge Cattle Dr,2005,16,2129,3,3.0
5608 Nelson Oaks Dr,2014,7,1412,3,2.0
7320 Cave Holw,1983,38,1500,2,3.0
5301 Gooding Dr,2015,6,2096,4,3.0
1744 Channel Rd,1987,34,900,1,1.0
10607 Beckwood Dr,1989,32,2460,3,3.0
801 River Rd,1992,29,3023,4,3.0
4502 Inicio Ln,2016,5,1100,2,2.0
12201 Labrador Bay Ct,2013,8,3601,5,4.0
12509 Javea Dr,2017,4,3141,4,3.0
9421 Southwick Dr,2014,7,1922,3,3.0
7104 Brick Slope Path,2016,5,2754,5,3.0
5601 Courtyard Cv,1983,38,1603,2,2.0
10634 Glass Mountain Trl,1979,42,4873,4,4.0
710 Hatton Hill Ln,2014,7,1878,4,3.0
3003 Brass Buttons Trl,2012,9,300,2,2.0
10607 Saber Creek Cv,1986,35,2142,3,2.0
9900 Cerro Alto Cv,1983,38,1379,3,2.0
5344 Sendero Hills Pkwy,2006,15,2070,3,3.0
6734 Cuesta Trl,2008,13,4938,5,5.0
3509 Robbins Rd,1998,23,3480,4,4.0
14307 Vandever St,1986,35,1469,3,2.0
147 Daisy Path,2006,15,3476,4,3.0
10901 Wynnewood St,2015,6,2386,3,3.0
10700 Chestnut Ridge Rd,2001,20,4160,4,3.0
8100 Donnelley Dr,2019,2,2458,4,3.0
250 Mountain Laurel Way,2006,15,2843,4,3.0
3501 Beartree Cir,1984,37,2832,4,2.0
11400 Fletcher Hall Ln,2003,18,1810,3,3.0
5821 Knoll Pines Pass,2015,6,1623,3,3.0
13200 Breve Cv,2015,6,1301,3,2.0
8115 Two Coves Dr,1994,27,4427,3,4.0
12516 Javea Dr,2018,3,3263,5,3.0
12302 Eagle Rock Cv,1979,42,1819,4,2.0
11120 Crazy Well Dr,2005,16,1702,3,2.0
1004 Ottawa Dr,2005,16,3325,5,3.0
12725 Belcara Pl,2007,14,3320,4,3.0
11004 Scotland Well Dr,1990,31,2766,4,4.0
4320 Shadow Oak Ln,1990,31,2244,2,2.0
304 Summer Alcove Way,2011,10,4398,5,4.0
2112 Cliffs Edge Dr,1994,27,3986,4,5.0
13921 Turkey Hollow Trl,2011,10,2179,3,3.0
8000 Gilwice Ln,2020,1,2523,4,3.0
10907 Hidden Caves Way,2014,7,2515,4,3.0
15201 Sabal Palm Rd,2006,15,1117,3,2.0
1800 N River Hills Rd,2001,20,1696,1,2.0
4323 Shadow Oak Ln,1991,30,3593,5,5.0
5408 Sendero Hills Pkwy,2007,14,1784,3,3.0
8008 Annalise Dr,2015,6,2503,4,4.0
15111 Sabal Palm Rd,2006,15,867,2,1.0
1508 Australis Cv,2007,14,3663,4,4.0
5710 Carry Back Ln,1991,30,3785,4,4.0
8913 Southwick Dr,2013,8,1203,3,2.0
15109 Sabal Palm Rd,2006,15,1326,3,2.0
8021 Izetta Ln,2015,6,1465,3,2.0
14605 Springs Edge Dr,2004,17,1829,3,3.0
5709 Sam Houston Cir,1979,42,3528,4,3.0
1602 Lipan Trl,2017,4,2702,4,3.0
2508 Ionian Cv,2019,2,3821,4,4.0
13304 Bright Sky Overlook,2007,14,3783,4,4.0
9904 Liriope Cv,1998,23,2654,4,3.0
5405 Park At Woodlands Dr,2007,14,1915,3,2.0
4110 Bunny Run APT 6,1996,25,4169,5,4.0
9900 Liriope Cv,1999,22,2312,4,2.0
8017 Long Canyon Dr,1994,27,3234,4,4.0
7229 Brick Slope Path,2016,5,2705,4,3.0
