zpid,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
60138195,2002,19,1890,3,2.0
111969317,2012,9,2654,4,3.0
29370415,1985,36,1952,4,2.0
120895893,2012,9,4318,4,4.0
89551842,2008,13,6800,4,7.0
80094819,2010,11,4455,5,5.0
111372822,2014,7,1710,3,2.0
29471186,2012,9,1680,3,2.0
29459807,1986,35,1493,3,2.0
119620477,2017,4,3468,4,3.0
29372913,1996,25,3323,4,4.0
70992316,2007,14,2236,4,3.0
58297966,1999,22,2913,4,2.0
29351905,2000,21,4688,4,4.0
83817317,2012,9,1203,3,2.0
70352389,2007,14,1862,3,2.0
29372413,1989,32,3200,4,3.0
29344839,1997,24,4385,5,5.0
119620476,2020,1,3151,4,3.0
29462690,2001,20,1467,3,3.0
70992306,2006,15,1694,3,2.0
29351902,2000,21,3870,4,5.0
80106317,2008,13,1704,3,2.0
29459805,1987,34,1815,4,3.0
29343832,1962,59,2081,4,2.0
29375911,1977,44,3451,4,3.0
55299476,2006,15,3128,3,3.0
29470178,2019,2,2350,3,3.0
29464189,2000,21,2035,3,3.0
29395310,1972,49,1199,3,2.0
58298400,1980,41,1927,3,3.0
79981802,2008,13,928,3,2.0
29342388,1998,23,2876,4,3.0
29375910,2002,19,2550,3,3.0
111372812,2012,9,4124,5,4.0
145658177,2015,6,1821,3,2.0
29464187,2001,20,1748,3,3.0
29344833,1997,24,3711,4,5.0
83816303,2007,14,1442,3,2.0
29353898,1981,40,3193,4,3.0
80104443,2009,12,1341,3,2.0
70336887,2006,15,4095,5,4.0
58300408,1999,22,4200,5,4.0
29361809,1981,40,2076,3,3.0
29343331,1984,37,1616,2,2.0
58298397,1978,43,1904,3,2.0
89552800,2010,11,1432,3,3.0
70341938,2008,13,1491,3,2.0
29565906,1976,45,1398,3,2.0
96645484,2007,14,10611,6,10.0
64744302,2003,18,5162,5,5.0
29462679,2000,21,1737,3,2.0
121656827,2014,7,4323,4,4.0
202161475,2012,9,3809,5,4.0
29353897,1963,58,2160,3,2.0
80102437,2008,13,1586,4,2.0
29372406,1985,36,2742,4,3.0
70330384,2005,16,6530,5,7.0
124149797,2016,5,1977,3,2.0
70345678,2009,12,1522,4,2.0
124845293,2016,5,5162,5,5.0
120896822,2013,8,3004,3,4.0
29395301,1972,49,1110,3,2.0
70345937,2005,16,1423,3,2.0
58298396,1980,41,1869,3,3.0
58300404,2000,21,4148,5,3.0
60136380,2001,20,2287,3,3.0
29342316,2002,19,5764,4,5.0
111370793,2011,10,2968,5,4.0
29469933,1996,25,1201,3,2.0
80079467,2006,15,4679,5,5.0
29396799,1987,34,1867,3,3.0
29363396,1996,25,3029,4,3.0
251036659,2019,2,2433,4,3.0
29372402,1984,37,2047,3,2.0
116080293,2012,9,1905,3,2.0
120898376,2013,8,4393,4,4.0
70345672,2011,10,2074,5,3.0
29344810,1974,47,1940,4,2.0
80107289,2009,12,4416,5,4.0
83833429,2013,8,1355,3,2.0
29353999,2000,21,5057,4,6.0
303835965,2019,2,3809,4,4.0
29395299,1972,49,1903,5,3.0
